line_id,timestamp,process_id,level,component,block_id,message,parse_status,Label
174,2008-11-09T20:35:29,158,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.67.211,parsed,Normal
175,2008-11-09T20:35:29,158,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.251.75.163,parsed,Normal
176,2008-11-09T20:35:29,158,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.74.227,parsed,Normal
178,2008-11-09T20:35:29,159,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.194.245,parsed,Normal
179,2008-11-09T20:35:29,159,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.251.203.166,parsed,Normal
180,2008-11-09T20:35:29,159,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.215.16:50010 Served block blk_-1608999687919862906 to /10.251.73.220,parsed,Normal
181,2008-11-09T20:35:29,159,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.195.33,parsed,Normal
214,2008-11-09T20:35:30,149,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.203.129,parsed,Normal
219,2008-11-09T20:35:30,150,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.30.179,parsed,Normal
220,2008-11-09T20:35:30,151,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.42.16,parsed,Normal
222,2008-11-09T20:35:30,152,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.126.83,parsed,Normal
223,2008-11-09T20:35:30,153,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.31.85,parsed,Normal
224,2008-11-09T20:35:30,154,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.125.237,parsed,Normal
225,2008-11-09T20:35:30,155,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.125.174,parsed,Normal
226,2008-11-09T20:35:30,156,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.75.143,parsed,Normal
227,2008-11-09T20:35:30,156,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.75.228,parsed,Normal
230,2008-11-09T20:35:30,158,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.214.67,parsed,Normal
231,2008-11-09T20:35:30,159,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.195.70,parsed,Normal
232,2008-11-09T20:35:30,159,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.215.50,parsed,Normal
233,2008-11-09T20:35:30,160,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.111.130,parsed,Normal
234,2008-11-09T20:35:30,160,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.43.21,parsed,Normal
235,2008-11-09T20:35:30,160,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.107.19,parsed,Normal
236,2008-11-09T20:35:30,160,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.215.16:50010 Served block blk_-1608999687919862906 to /10.251.66.102,parsed,Normal
237,2008-11-09T20:35:30,160,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.67.4,parsed,Normal
238,2008-11-09T20:35:30,161,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.214.175,parsed,Normal
239,2008-11-09T20:35:30,161,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.250.14.224,parsed,Normal
240,2008-11-09T20:35:30,161,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.215.16:50010 Served block blk_-1608999687919862906 to /10.251.42.207,parsed,Normal
241,2008-11-09T20:35:30,162,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.250.10.6,parsed,Normal
242,2008-11-09T20:35:30,162,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.194.147,parsed,Normal
244,2008-11-09T20:35:30,163,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.110.160,parsed,Normal
245,2008-11-09T20:35:30,163,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.215.16:50010 Served block blk_-1608999687919862906 to /10.251.202.181,parsed,Normal
271,2008-11-09T20:35:30,19,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* ask 10.251.31.5:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.90.64:50010,parsed,Normal
290,2008-11-09T20:35:31,146,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.251.30.101,parsed,Normal
291,2008-11-09T20:35:31,146,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.240:50010 Served block blk_-1608999687919862906 to /10.251.43.210,parsed,Normal
300,2008-11-09T20:35:31,147,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.251.126.255,parsed,Normal
301,2008-11-09T20:35:31,147,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.240:50010 Served block blk_-1608999687919862906 to /10.251.214.112,parsed,Normal
314,2008-11-09T20:35:31,148,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.251.42.84,parsed,Normal
315,2008-11-09T20:35:31,148,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.240:50010 Served block blk_-1608999687919862906 to /10.251.106.37,parsed,Normal
325,2008-11-09T20:35:31,149,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.251.215.70,parsed,Normal
336,2008-11-09T20:35:31,150,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.251.42.246,parsed,Normal
339,2008-11-09T20:35:31,151,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.251.42.191,parsed,Normal
340,2008-11-09T20:35:31,151,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.240:50010 Served block blk_-1608999687919862906 to /10.251.111.37,parsed,Normal
341,2008-11-09T20:35:31,152,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.251.214.130,parsed,Normal
343,2008-11-09T20:35:31,154,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.251.39.179,parsed,Normal
345,2008-11-09T20:35:31,155,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.250.11.100,parsed,Normal
346,2008-11-09T20:35:31,156,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.251.43.192,parsed,Normal
347,2008-11-09T20:35:31,158,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.31.5:50010 Served block blk_-1608999687919862906 to /10.251.122.38,parsed,Normal
348,2008-11-09T20:35:31,158,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.71.193:50010 Served block blk_-1608999687919862906 to /10.251.123.20,parsed,Normal
349,2008-11-09T20:35:31,159,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.31.5:50010 Served block blk_-1608999687919862906 to /10.251.107.98,parsed,Normal
350,2008-11-09T20:35:31,161,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.107.19:50010 Served block blk_-1608999687919862906 to /10.251.89.155,parsed,Normal
352,2008-11-09T20:35:31,162,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.74.134,parsed,Normal
